time_s,ue_id,tput_Mbps,sinr_dB,rsrp_dBm,gnb0_tilt_deg,gnb1_tilt_deg,gnb2_tilt_deg,gnb3_tilt_deg,gnb4_tilt_deg
1.5,0,0.4,34.3686,-111.563,4,6,5,7,3
1.5,1,0.4,13.8931,-125.008,4,6,5,7,3
1.5,2,0.4,55.6425,-111.141,4,6,5,7,3
1.5,3,0.392,7.13685,-117.587,4,6,5,7,3
1.5,4,0.184,18.7712,-126.033,4,6,5,7,3
1.5,5,0.328,-4.57222,-112.093,4,6,5,7,3
1.5,6,0.4,54.0933,-133.535,4,6,5,7,3
1.5,7,0.4,49.6326,-99.9611,4,6,5,7,3
1.5,8,0.16,19.1165,-114.455,4,6,5,7,3
1.5,9,0.368,-1.83106,-121.52,4,6,5,7,3
2.5,0,0.8,39.3203,-117.432,4,6,5,7,3
2.5,1,0.792,12.5186,-123.299,4,6,5,7,3
2.5,2,0.8,52.9075,-106.716,4,6,5,7,3
2.5,3,0.8,6.05683,-117.168,4,6,5,7,3
2.5,4,0.672,16.4498,-124.879,4,6,5,7,3
2.5,5,0.64,-5.08221,-110.953,4,6,5,7,3
2.5,6,0.8,54.1606,-126.851,4,6,5,7,3
2.5,7,0.8,50.301,-101.279,4,6,5,7,3
2.5,8,0.44,17.3533,-115.466,4,6,5,7,3
2.5,9,0.792,2.34281,-119.153,4,6,5,7,3
3.5,0,0.8,27.3991,-116.793,4,6,5,7,3
3.5,1,0.808,34.0843,-123.079,4,6,5,7,3
3.5,2,0.8,48.6851,-109.999,4,6,5,7,3
3.5,3,0.808,8.68262,-115.37,4,6,5,7,3
3.5,4,0.848,10.5398,-121.323,4,6,5,7,3
3.5,5,0.608,26.4058,-111.701,4,6,5,7,3
3.5,6,0.8,51.7481,-124.364,4,6,5,7,3
3.5,7,0.8,34.7029,-100.208,4,6,5,7,3
3.5,8,0.504,-1.46792,-114.372,4,6,5,7,3
3.5,9,0.808,12.0185,-119.605,4,6,5,7,3
4.5,0,0.8,30.9552,-117.545,4,6,5,7,3
4.5,1,0.8,22.6618,-123.406,4,6,5,7,3
4.5,2,0.8,46.5313,-113.952,4,6,5,7,3
4.5,3,0.792,7.09464,-112.598,4,6,5,7,3
4.5,4,0.776,-0.830983,-120.532,4,6,5,7,3
4.5,5,0.608,25.0577,-114.217,4,6,5,7,3
4.5,6,0.8,53.0865,-124.922,4,6,5,7,3
4.5,7,0.8,33.0121,-103.556,4,6,5,7,3
4.5,8,0.704,-1.16882,-113.045,4,6,5,7,3
4.5,9,0.792,14.8475,-116.674,4,6,5,7,3
5.5,0,0.8,32.2675,-119.455,4,2,5,7,3
5.5,1,0.8,25.7876,-123.303,4,2,5,7,3
5.5,2,0.8,49.3305,-117.44,4,2,5,7,3
5.5,3,0.8,8.68261,-111.225,4,2,5,7,3
5.5,4,0.496,9.43613,-118.879,4,2,5,7,3
5.5,5,0.808,0.339497,-114.8,4,2,5,7,3
5.5,6,0.8,51.4612,-125.753,4,2,5,7,3
5.5,7,0.8,32.9335,-104.868,4,2,5,7,3
5.5,8,0.544,26.7234,-110.571,4,2,5,7,3
5.5,9,0.744,-0.0229737,-119.651,4,2,5,7,3
6.5,0,0.792,28.1764,-117.921,4,2,5,9,3
6.5,1,0.8,32.7106,-119.381,4,2,5,9,3
6.5,2,0.8,50.7164,-117.96,4,2,5,9,3
6.5,3,0.808,11.6244,-112.781,4,2,5,9,3
6.5,4,0.6,-2.51209,-118.61,4,2,5,9,3
6.5,5,0.72,8.61253,-114.513,4,2,5,9,3
6.5,6,0.8,53.3017,-126.765,4,2,5,9,3
6.5,7,0.8,30.0863,-101.939,4,2,5,9,3
6.5,8,0.512,26.0114,-108.462,4,2,5,9,3
6.5,9,0.8,3.04083,-120.171,4,2,5,9,3
7.5,0,0.808,27.6981,-116.237,4,2,5,9,3
7.5,1,0.792,13.7955,-122.4,4,2,5,9,3
7.5,2,0.8,52.0872,-120.379,4,2,5,9,3
7.5,3,0.8,11.6823,-111.655,4,2,5,9,3
7.5,4,0.688,8.2247,-122.725,4,2,5,9,3
7.5,5,0.544,-8.50213,-117.384,4,2,5,9,3
7.5,6,0.8,54.4507,-132.466,4,2,5,9,3
7.5,7,0.8,32.3058,-102.674,4,2,5,9,3
7.5,8,0.448,25.7038,-108.584,4,2,5,9,3
7.5,9,0.792,0.916039,-119.453,4,2,5,9,3
8.5,0,0.8,25.057,-116.391,10,2,5,9,3
8.5,1,0.808,28.0667,-121.535,10,2,5,9,3
8.5,2,0.8,47.0549,-120.058,10,2,5,9,3
8.5,3,0.792,7.16094,-110.27,10,2,5,9,3
8.5,4,0.696,20.7266,-121.608,10,2,5,9,3
8.5,5,0.672,-16.0554,-117.473,10,2,5,9,3
8.5,6,0.8,48.6469,-129.659,10,2,5,9,3
8.5,7,0.8,43.6931,-104.458,10,2,5,9,3
8.5,8,0.44,2.80559,-108.782,10,2,5,9,3
8.5,9,0.792,11.5712,-116.467,10,2,5,9,3
9.5,0,0.8,32.5215,-119.508,10,2,5,9,3
9.5,1,0.8,20.313,-118.752,10,2,5,9,3
9.5,2,0.8,52.3482,-118.43,10,2,5,9,3
9.5,3,0.808,7.41994,-110.884,10,2,5,9,3
9.5,4,0.464,-2.75881,-120.789,10,2,5,9,3
9.5,5,0.656,9.37071,-116.284,10,2,5,9,3
9.5,6,0.8,52.8301,-127.498,10,2,5,9,3
9.5,7,0.8,30.6169,-104.092,10,2,5,9,3
9.5,8,0.44,25.0399,-109.286,10,2,5,9,3
9.5,9,0.648,-1.29896,-115.481,10,2,5,9,3
10.5,0,0.8,31.297,-122.148,10,2,14,9,3
10.5,1,0.792,21.8878,-118.503,10,2,14,9,3
10.5,2,0.8,49.1345,-120.899,10,2,14,9,3
10.5,3,0.704,1.11758,-108.47,10,2,14,9,3
10.5,4,0.704,-1.92943,-120.453,10,2,14,9,3
10.5,5,0.792,12.3594,-120.508,10,2,14,9,3
10.5,6,0.8,54.7655,-130.77,10,2,14,9,3
10.5,7,0.8,35.3586,-104.397,10,2,14,9,3
10.5,8,0.688,24.9787,-109.431,10,2,14,9,3
10.5,9,0.528,10.8842,-115.122,10,2,14,9,3
11.5,0,0.8,27.4687,-120.666,10,2,14,9,3
11.5,1,0.792,8.0588,-119.516,10,2,14,9,3
11.5,2,0.8,47.1395,-118.921,10,2,14,9,3
11.5,3,0.68,-1.96252,-107.483,10,2,14,9,3
11.5,4,0.656,10.352,-123.954,10,2,14,9,3
11.5,5,0.496,-14.4743,-120.346,10,2,14,9,3
11.5,6,0.8,51.0834,-132.503,10,2,14,9,3
11.5,7,0.8,34.1803,-104.071,10,2,14,9,3
11.5,8,0.672,23.5704,-107.923,10,2,14,9,3
11.5,9,0.816,0.437121,-116.93,10,2,14,9,3
12.5,0,0.792,25.139,-119.136,10,2,14,9,7
12.5,1,0.8,18.2626,-120.646,10,2,14,9,7
12.5,2,0.8,41.1078,-120.332,10,2,14,9,7
12.5,3,0.56,0.0791695,-107.687,10,2,14,9,7
12.5,4,0.56,6.51543,-122.744,10,2,14,9,7
12.5,5,0.552,20.1317,-119.289,10,2,14,9,7
12.5,6,0.8,49.1352,-133.674,10,2,14,9,7
12.5,7,0.8,35.0558,-105.315,10,2,14,9,7
12.5,8,0.52,18.8844,-111.927,10,2,14,9,7
12.5,9,0.8,13.4923,-117.84,10,2,14,9,7
13.5,0,0.808,33.7555,-121.804,10,2,14,9,7
13.5,1,0.808,9.451,-124.585,10,2,14,9,7
13.5,2,0.8,41.0788,-116.784,10,2,14,9,7
13.5,3,0.752,-1.9576,-102.807,10,2,14,9,7
13.5,4,0.888,10.9832,-120.781,10,2,14,9,7
13.5,5,0.712,-16.179,-121.511,10,2,14,9,7
13.5,6,0.8,50.485,-131.462,10,2,14,9,7
