time_s,ue_id,tput_Mbps,sinr_dB,rsrp_dBm,gnb0_tilt_deg,gnb1_tilt_deg,gnb2_tilt_deg
2.5,0,7.168,13.7693,-100.712,7,7,7
2.5,1,20.96,26.2564,-109.06,7,7,7
2.5,2,21.048,54.2205,-99.6395,7,7,7
2.5,3,10.632,13.0698,-116.228,7,7,7
2.5,4,1.08,-1.4163,-113.517,7,7,7
2.5,5,18.248,25.6341,-121.527,7,7,7
2.5,6,37.352,36.9207,-121.004,7,7,7
2.5,7,8.496,8.11879,-107.185,7,7,7
2.5,8,6.072,14.6533,-116.69,7,7,7
2.5,9,13.28,7.40607,-122.813,7,7,7
2.5,10,1.368,-10.7444,-123.976,7,7,7
2.5,11,2.56,10.1289,-100.754,7,7,7
2.5,12,13.448,6.49284,-117.834,7,7,7
2.5,13,2.224,-0.19505,-113.44,7,7,7
2.5,14,4.088,34.3472,-112.571,7,7,7
2.5,15,2.6,16.0029,-125.364,7,7,7
2.5,16,5.376,4.85294,-117.871,7,7,7
2.5,17,7.56,11.0945,-114.349,7,7,7
2.5,18,8.688,14.4538,-104.852,7,7,7
2.5,19,12.176,37.6525,-119.371,7,7,7
2.5,20,15.808,-0.460864,-119.855,7,7,7
2.5,21,17.328,33.3753,-118.973,7,7,7
2.5,22,14.952,44.1902,-79.3365,7,7,7
2.5,23,9.168,22.8595,-119.587,7,7,7
2.5,24,6.592,-8.45842,-117.217,7,7,7
2.5,25,3.768,21.8366,-103.171,7,7,7
2.5,26,5.52,0.202139,-127.184,7,7,7
2.5,27,7.224,18.4976,-96.1634,7,7,7
2.5,28,1.112,-5.27528,-102.304,7,7,7
2.5,29,14.528,10.2625,-104.339,7,7,7
2.5,30,11.968,34.8763,-117.89,7,7,7
2.5,31,4.632,18.1984,-99.4208,7,7,7
2.5,32,9.424,13.8556,-105.16,7,7,7
2.5,33,4.64,20.5233,-127.36,7,7,7
2.5,34,3.184,38.1504,-82.4401,7,7,7
2.5,35,2.568,-11.0005,-103.88,7,7,7
2.5,36,1.512,-1.2184,-111.121,7,7,7
2.5,37,8.032,11.9244,-115.868,7,7,7
2.5,38,7.504,-4.62902,-116.048,7,7,7
2.5,39,15.92,23.8325,-114.245,7,7,7
2.5,40,7.392,-0.438259,-113.186,7,7,7
2.5,41,3.936,-8.54389,-101.076,7,7,7
2.5,42,12.488,20.4605,-123.923,7,7,7
2.5,43,9.488,18.2927,-121.105,7,7,7
2.5,44,4.064,-7.45392,-105.217,7,7,7
2.5,45,5.712,18.6314,-131.758,7,7,7
2.5,46,13.344,30.8477,-110.001,7,7,7
2.5,47,17.848,24.1282,-94.8119,7,7,7
2.5,48,22.104,-12.0941,-124.445,7,7,7
2.5,49,8.928,-24.6564,-114.699,7,7,7
3.5,0,8.08,20.1406,-100.712,7,7,7
3.5,1,15.04,27.7135,-109.06,7,7,7
3.5,2,10.336,10.7029,-99.6395,7,7,7
3.5,3,4.672,9.84607,-116.228,7,7,7
3.5,4,0.632,-49.5866,-113.517,7,7,7
3.5,5,24.328,6.23127,-121.527,7,7,7
3.5,6,15.256,36.9991,-121.004,7,7,7
3.5,7,5.544,9.31508,-107.185,7,7,7
3.5,8,3.568,-8.24033,-116.69,7,7,7
3.5,9,8.664,18.073,-122.813,7,7,7
3.5,10,0.984,6.5341,-123.976,7,7,7
3.5,11,2.552,26.2464,-100.754,7,7,7
3.5,12,4.912,1.23948,-117.834,7,7,7
3.5,13,0.432,-0.050392,-113.44,7,7,7
3.5,14,5.768,-0.274056,-112.571,7,7,7
3.5,15,2.848,11.1779,-125.364,7,7,7
3.5,16,5.744,11.5277,-117.871,7,7,7
3.5,17,3.28,4.45819,-114.349,7,7,7
3.5,18,14.256,14.6617,-104.852,7,7,7
3.5,19,22.48,24.7544,-119.371,7,7,7
3.5,20,4.712,13.6101,-119.855,7,7,7
3.5,21,15.256,33.0693,-118.973,7,7,7
3.5,22,21.768,43.3414,-79.3365,7,7,7
3.5,23,3.552,19.6813,-119.587,7,7,7
3.5,24,5.888,3.43416,-117.217,7,7,7
3.5,25,5.424,27.3831,-103.171,7,7,7
