time_s,total_tput_Mbps,avg_tput_Mbps,min_tput_Mbps,p5_tput_Mbps,max_tput_Mbps,jfi,coverage_pct,gnb0_tilt_deg,gnb1_tilt_deg,gnb2_tilt_deg
2.5,475.112,9.50224,1.08,1.368,37.352,0.6545,0,7,7,7
3.5,373.416,7.46832,0.432,0.568,24.328,0.623768,0,7,7,7
4.5,362.432,7.24864,0.184,0.576,22.416,0.624857,0,7,7,7
5.5,405.912,8.11824,0.104,0.576,25.2,0.62556,0,7,7,7
6.5,402.496,8.04992,0.2,1.04,27.312,0.616524,0,7,7,7
7.5,401.896,8.03792,0.568,0.928,26.392,0.603826,0,7,7,7
8.5,377.032,7.54064,0.28,0.896,24.944,0.623019,0,7,7,7
9.5,379.04,7.5808,0.232,0.616,22.048,0.655455,0,7,7,7
10.5,402.792,8.05584,0.272,0.624,23.968,0.626614,0,7,7,7
11.5,404.736,8.09472,0.288,0.424,23.608,0.639175,0,7,7,7
12.5,398.029,7.96058,0.368,0.848,28.704,0.574825,0,7,7,7
13.5,358.423,7.16847,0.32,0.696,21.736,0.599295,0,7,7,7
14.5,353.968,7.07936,0,0,24.608,0.553898,0,7,7,7
15.5,370.367,7.40734,0,0.44,28.632,0.517552,0,7,7,7
16.5,407.125,8.14251,0,0.272,25.744,0.578678,0,7,7,7
17.5,403.511,8.07022,0,0,29.28,0.542988,0,7,7,7
18.5,395.187,7.90375,0,0.384,23.888,0.633247,0,7,7,7
19.5,400.438,8.00875,0,0.304,20.744,0.653332,0,7,7,7
