ue_id,x_m,y_m,z_m,gnb_id
0,86.6401,-23.9187,1.5,2
1,-103.942,80.6405,1.5,0
2,-105.691,-38.3915,1.5,1
3,95.3461,-13.7285,1.5,2
4,79.6654,51.9871,1.5,0
5,-87.45,18.09,1.5,1
6,-107.457,96.3791,1.5,0
7,103.756,-60.3547,1.5,2
8,29.5536,-70.5042,1.5,2
9,-9.79211,86.045,1.5,0
10,-20.5264,-46.9036,1.5,1
11,69.8587,-41.1841,1.5,2
12,46.2514,63.6225,1.5,0
13,75.0089,-2.88768,1.5,2
14,37.3606,121.38,1.5,0
15,-34.5641,-94.6962,1.5,1
16,-63.8211,-118.715,1.5,1
17,-128.21,26.9636,1.5,1
18,21.3578,93.7917,1.5,0
19,-85.728,-135.075,1.5,1
20,-65.3942,-52.3986,1.5,1
21,59.1422,134.818,1.5,0
22,147.85,-97.6031,1.5,2
23,-119.023,-12.6878,1.5,1
24,22.4038,-83.408,1.5,2
25,66.3501,-47.1433,1.5,2
26,-129.219,58.294,1.5,1
27,50.3556,-100.909,1.5,2
28,23.6476,52.7663,1.5,0
29,59.0311,-97.5801,1.5,2
30,-64.1234,70.9724,1.5,0
31,4.02889,-12.5422,1.5,2
32,32.3873,-48.6588,1.5,2
33,-23.6508,55.2426,1.5,0
34,-40.0574,-81.4193,1.5,1
35,22.1834,-87.0825,1.5,2
36,3.32561,10.7592,1.5,0
37,-51.6419,-102.221,1.5,1
38,-76.6042,-40.8676,1.5,1
39,-128.402,144.67,1.5,0
40,1.35792,-14.2539,1.5,2
41,123.737,-42.2755,1.5,2
42,126.225,86.0528,1.5,0
43,-38.4994,141.71,1.5,0
44,-50.4139,-51.2721,1.5,1
45,-148.119,-62.2019,1.5,1
46,22.0996,149.4,1.5,0
47,96.1936,-138.005,1.5,2
48,-121.82,-27.0003,1.5,1
49,-49.0833,0.601946,1.5,1
